% 1. Title: Phishing URL Classification Dataset
% 
% 2. Sources:
%      (a) Creator: Xin Zhou
%      (b) Date: 2019/04/25 21:33:50
% 
@RELATION Phishing_URL_Detection

@ATTRIBUTE url_length  NUMERIC
@ATTRIBUTE domain_length  NUMERIC
@ATTRIBUTE dash_symbal  NUMERIC
@ATTRIBUTE cons_digits  NUMERIC
@ATTRIBUTE count_digits  NUMERIC
@ATTRIBUTE protocal  NUMERIC
@ATTRIBUTE numberOfDash_onDomain  NUMERIC
@ATTRIBUTE numberOfSlashes  NUMERIC
@ATTRIBUTE special_words  NUMERIC
@ATTRIBUTE TLD  NUMERIC
@ATTRIBUTE redirect  NUMERIC
@ATTRIBUTE page_global_rank  NUMERIC
@ATTRIBUTE page_local_rank  NUMERIC
@ATTRIBUTE country_code  NUMERIC
@ATTRIBUTE google_redirect  NUMERIC
@ATTRIBUTE current_minus_creation  NUMERIC
@ATTRIBUTE current_minus_updated  NUMERIC
@ATTRIBUTE expiration_minus_creation  NUMERIC
@ATTRIBUTE C_F_1  NUMERIC
@ATTRIBUTE C_F_2  NUMERIC
@ATTRIBUTE C_F_3  NUMERIC
@ATTRIBUTE C_F_4  NUMERIC
@ATTRIBUTE C_F_5  NUMERIC
@ATTRIBUTE C_F_6  NUMERIC
@ATTRIBUTE C_F_7  NUMERIC
@ATTRIBUTE C_F_8  NUMERIC
@ATTRIBUTE C_F_9  NUMERIC
@ATTRIBUTE C_F_10  NUMERIC
@ATTRIBUTE C_F_11  NUMERIC
@ATTRIBUTE C_F_12  NUMERIC
@ATTRIBUTE C_F_13  NUMERIC
@ATTRIBUTE C_F_14  NUMERIC
@ATTRIBUTE C_F_15  NUMERIC
@ATTRIBUTE C_F_16  NUMERIC
@ATTRIBUTE C_F_17  NUMERIC
@ATTRIBUTE C_F_18  NUMERIC
@ATTRIBUTE C_F_19  NUMERIC
@ATTRIBUTE C_F_20  NUMERIC
@ATTRIBUTE C_F_21  NUMERIC
@ATTRIBUTE C_F_22  NUMERIC
@ATTRIBUTE C_F_23  NUMERIC
@ATTRIBUTE C_F_24  NUMERIC
@ATTRIBUTE C_F_25  NUMERIC
@ATTRIBUTE C_F_26  NUMERIC
@ATTRIBUTE C_F_27  NUMERIC
@ATTRIBUTE C_F_28  NUMERIC
@ATTRIBUTE C_F_29  NUMERIC
@ATTRIBUTE C_F_30  NUMERIC
@ATTRIBUTE C_F_31  NUMERIC
@ATTRIBUTE C_F_32  NUMERIC
@ATTRIBUTE C_F_33  NUMERIC
@ATTRIBUTE C_F_34  NUMERIC
@ATTRIBUTE C_F_35  NUMERIC
@ATTRIBUTE C_F_36  NUMERIC
@ATTRIBUTE C_F_37  NUMERIC
@ATTRIBUTE C_F_38  NUMERIC
@ATTRIBUTE C_F_39  NUMERIC
@ATTRIBUTE C_F_40  NUMERIC
@ATTRIBUTE C_F_41  NUMERIC
@ATTRIBUTE C_F_42  NUMERIC
@ATTRIBUTE C_F_43  NUMERIC
@ATTRIBUTE C_F_44  NUMERIC
@ATTRIBUTE C_F_45  NUMERIC
@ATTRIBUTE C_F_46  NUMERIC
@ATTRIBUTE C_F_47  NUMERIC
@ATTRIBUTE C_F_48  NUMERIC
@ATTRIBUTE C_F_49  NUMERIC
@ATTRIBUTE C_F_50  NUMERIC
@ATTRIBUTE C_F_51  NUMERIC
@ATTRIBUTE C_F_52  NUMERIC
@ATTRIBUTE C_F_53  NUMERIC
@ATTRIBUTE C_F_54  NUMERIC
@ATTRIBUTE C_F_55  NUMERIC
@ATTRIBUTE C_F_56  NUMERIC
@ATTRIBUTE C_F_57  NUMERIC
@ATTRIBUTE C_F_58  NUMERIC
@ATTRIBUTE C_F_59  NUMERIC
@ATTRIBUTE C_F_60  NUMERIC
@ATTRIBUTE C_F_61  NUMERIC
@ATTRIBUTE C_F_62  NUMERIC
@ATTRIBUTE C_F_63  NUMERIC
@ATTRIBUTE C_F_64  NUMERIC
@ATTRIBUTE C_F_65  NUMERIC
@ATTRIBUTE C_F_66  NUMERIC
@ATTRIBUTE C_F_67  NUMERIC
@ATTRIBUTE C_F_68  NUMERIC
@ATTRIBUTE C_F_69  NUMERIC
@ATTRIBUTE C_F_70  NUMERIC
@ATTRIBUTE C_F_71  NUMERIC
@ATTRIBUTE C_F_72  NUMERIC
@ATTRIBUTE C_F_73  NUMERIC
@ATTRIBUTE C_F_74  NUMERIC
@ATTRIBUTE C_F_75  NUMERIC
@ATTRIBUTE C_F_76  NUMERIC
@ATTRIBUTE C_F_77  NUMERIC
@ATTRIBUTE C_F_78  NUMERIC
@ATTRIBUTE C_F_79  NUMERIC
@ATTRIBUTE C_F_80  NUMERIC
@ATTRIBUTE C_F_81  NUMERIC
@ATTRIBUTE C_F_82  NUMERIC
@ATTRIBUTE C_F_83  NUMERIC
@ATTRIBUTE C_F_84  NUMERIC
@ATTRIBUTE C_F_85  NUMERIC
@ATTRIBUTE C_F_86  NUMERIC
@ATTRIBUTE C_F_87  NUMERIC
@ATTRIBUTE C_F_88  NUMERIC
@ATTRIBUTE C_F_89  NUMERIC
@ATTRIBUTE C_F_90  NUMERIC
@ATTRIBUTE C_F_91  NUMERIC
@ATTRIBUTE C_F_92  NUMERIC
@ATTRIBUTE C_F_93  NUMERIC
@ATTRIBUTE C_F_94  NUMERIC
@ATTRIBUTE C_F_95  NUMERIC
@ATTRIBUTE C_F_96  NUMERIC
@ATTRIBUTE C_F_97  NUMERIC
@ATTRIBUTE C_F_98  NUMERIC
@ATTRIBUTE C_F_99  NUMERIC
@ATTRIBUTE C_F_100  NUMERIC
@ATTRIBUTE C_F_101  NUMERIC
@ATTRIBUTE C_F_102  NUMERIC
@ATTRIBUTE C_F_103  NUMERIC
@ATTRIBUTE C_F_104  NUMERIC
@ATTRIBUTE C_F_105  NUMERIC
@ATTRIBUTE C_F_106  NUMERIC
@ATTRIBUTE C_F_107  NUMERIC
@ATTRIBUTE C_F_108  NUMERIC
@ATTRIBUTE C_F_109  NUMERIC
@ATTRIBUTE C_F_110  NUMERIC
@ATTRIBUTE C_F_111  NUMERIC
@ATTRIBUTE C_F_112  NUMERIC
@ATTRIBUTE C_F_113  NUMERIC
@ATTRIBUTE C_F_114  NUMERIC
@ATTRIBUTE C_F_115  NUMERIC
@ATTRIBUTE C_F_116  NUMERIC
@ATTRIBUTE C_F_117  NUMERIC
@ATTRIBUTE C_F_118  NUMERIC
@ATTRIBUTE C_F_119  NUMERIC
@ATTRIBUTE C_F_120  NUMERIC
@ATTRIBUTE C_F_121  NUMERIC
@ATTRIBUTE C_F_122  NUMERIC
@ATTRIBUTE C_F_123  NUMERIC
@ATTRIBUTE C_F_124  NUMERIC
@ATTRIBUTE C_F_125  NUMERIC
@ATTRIBUTE C_F_126  NUMERIC
@ATTRIBUTE C_F_127  NUMERIC
@ATTRIBUTE C_F_128  NUMERIC
@ATTRIBUTE C_F_129  NUMERIC
@ATTRIBUTE C_F_130  NUMERIC
@ATTRIBUTE C_F_131  NUMERIC
@ATTRIBUTE C_F_132  NUMERIC
@ATTRIBUTE C_F_133  NUMERIC
@ATTRIBUTE C_F_134  NUMERIC
@ATTRIBUTE C_F_135  NUMERIC
@ATTRIBUTE C_F_136  NUMERIC
@ATTRIBUTE C_F_137  NUMERIC
@ATTRIBUTE C_F_138  NUMERIC
@ATTRIBUTE C_F_139  NUMERIC
@ATTRIBUTE C_F_140  NUMERIC
@ATTRIBUTE C_F_141  NUMERIC
@ATTRIBUTE C_F_142  NUMERIC
@ATTRIBUTE C_F_143  NUMERIC
@ATTRIBUTE C_F_144  NUMERIC
@ATTRIBUTE C_F_145  NUMERIC
@ATTRIBUTE C_F_146  NUMERIC
@ATTRIBUTE C_F_147  NUMERIC
@ATTRIBUTE C_F_148  NUMERIC
@ATTRIBUTE C_F_149  NUMERIC
@ATTRIBUTE C_F_150  NUMERIC
@ATTRIBUTE C_F_151  NUMERIC
@ATTRIBUTE C_F_152  NUMERIC
@ATTRIBUTE C_F_153  NUMERIC
@ATTRIBUTE C_F_154  NUMERIC
@ATTRIBUTE C_F_155  NUMERIC
@ATTRIBUTE C_F_156  NUMERIC
@ATTRIBUTE C_F_157  NUMERIC
@ATTRIBUTE C_F_158  NUMERIC
@ATTRIBUTE C_F_159  NUMERIC
@ATTRIBUTE C_F_160  NUMERIC
@ATTRIBUTE C_F_161  NUMERIC
@ATTRIBUTE C_F_162  NUMERIC
@ATTRIBUTE C_F_163  NUMERIC
@ATTRIBUTE C_F_164  NUMERIC
@ATTRIBUTE C_F_165  NUMERIC
@ATTRIBUTE number_of_emails  NUMERIC
@ATTRIBUTE number_of_hosts  NUMERIC
@ATTRIBUTE time_1  NUMERIC
@ATTRIBUTE time_2  NUMERIC
@ATTRIBUTE time_3  NUMERIC
@ATTRIBUTE time_4  NUMERIC
@ATTRIBUTE time_total  NUMERIC
@ATTRIBUTE class  {1,0}


@DATA
 "54",  "16",  "0",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "2",  "1",  "1",  "0",  "42",  "50",  "28",  "23",  "0",  "4",  "2",  "0",  "0",  "0",  "0",  "1",  "5",  "0",  "0",  "0",  "54",  "94",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "117",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "15",  "1",  "0",  "6",  "6",  "0",  "1",  "5",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "162",  "0",  "0",  "96",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "17",  "0",  "0",  "38",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "94",  "1552",  "4525",  "6171", 1
 "54",  "16",  "0",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "2",  "1",  "1",  "0",  "42",  "50",  "28",  "23",  "0",  "4",  "2",  "0",  "0",  "0",  "0",  "1",  "5",  "0",  "0",  "0",  "54",  "94",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "117",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "15",  "1",  "0",  "6",  "6",  "0",  "1",  "5",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "162",  "0",  "0",  "96",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "17",  "0",  "0",  "38",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "94",  "2089",  "4525",  "6708", 1
 "35",  "13",  "1",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "4",  "4",  "365",  "0",  "0",  "0",  "17",  "51",  "0",  "0",  "0",  "52",  "9",  "0",  "0",  "0",  "14",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "16",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "46",  "0",  "0",  "0",  "0",  "33",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "38",  "0",  "0",  "0",  "0",  "34",  "0",  "3",  "68",  "6",  "0",  "46",  "6",  "24",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "28",  "73",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "30",  "0",  "4",  "2",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "2",  "0",  "112",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "211",  "784",  "203",  "3242",  "4440", 1
 "24",  "13",  "1",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "4",  "4",  "365",  "0",  "0",  "20",  "5",  "134",  "0",  "0",  "53",  "57",  "36",  "0",  "0",  "18",  "13",  "26",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "18",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "1",  "0",  "7",  "0",  "0",  "58",  "0",  "16",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "41",  "0",  "0",  "0",  "54",  "28",  "0",  "0",  "0",  "0",  "9",  "0",  "0",  "2",  "0",  "13",  "0",  "0",  "42",  "0",  "20",  "0",  "0",  "2",  "0",  "17",  "0",  "3",  "159",  "8",  "0",  "42",  "15",  "14",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "20",  "10",  "30",  "0",  "0",  "0",  "0",  "0",  "65",  "0",  "0",  "410",  "0",  "10",  "5",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "112",  "0",  "0",  "0",  "3",  "0",  "236",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "784",  "642",  "3242",  "4668", 1
 "37",  "14",  "0",  "1",  "2",  "0",  "0",  "3",  "0",  "1",  "0",  "4",  "26250",  "119",  "0",  "4770",  "50",  "5110",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "35",  "0",  "0",  "0",  "0",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "44",  "214",  "75",  "4594",  "4927", 1
 "31",  "13",  "1",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "4",  "4",  "365",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "5",  "4",  "0",  "0",  "0",  "54",  "15",  "0",  "0",  "0",  "9",  "2",  "0",  "0",  "0",  "11",  "2",  "0",  "0",  "0",  "54",  "24",  "0",  "0",  "0",  "11",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "52",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "24",  "0",  "0",  "0",  "0",  "21",  "1",  "0",  "28",  "9",  "0",  "2",  "5",  "24",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "3",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "2",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "112",  "0",  "0",  "0",  "2",  "0",  "112",  "0",  "0",  "0",  "2",  "0",  "112",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "45",  "1046",  "146",  "5359",  "6596", 1
 "26",  "6",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "7",  "526625",  "183",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "4",  "7",  "0",  "42",  "0",  "25",  "14",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "14",  "0",  "0",  "0",  "0",  "75",  "0",  "0",  "0",  "0",  "20",  "0",  "0",  "0",  "0",  "27",  "0",  "0",  "0",  "0",  "66",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "68",  "0",  "0",  "0",  "0",  "72",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "48",  "0",  "0",  "0",  "0",  "24",  "1",  "0",  "40",  "14",  "0",  "68",  "7",  "57",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "90",  "125",  "468",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "18",  "0",  "14",  "60",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "14",  "6",  "0",  "234",  "2",  "0",  "1",  "3",  "0",  "172",  "0",  "0",  "41",  "3",  "0",  "166",  "0",  "0",  "33",  "3",  "0",  "182",  "0",  "0",  "10",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "2",  "30",  "710",  "3407",  "4149", 1
 "48",  "6",  "0",  "3",  "5",  "0",  "0",  "5",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "2",  "1",  "1",  "0",  "42",  "50",  "28",  "23",  "0",  "4",  "2",  "0",  "0",  "0",  "0",  "1",  "5",  "0",  "0",  "0",  "54",  "94",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "117",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "28",  "0",  "0",  "0",  "0",  "15",  "1",  "0",  "6",  "6",  "0",  "1",  "5",  "23",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "162",  "0",  "0",  "96",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "17",  "0",  "0",  "38",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "39",  "48",  "1402",  "4646",  "6135", 1
 "25",  "16",  "0",  "0",  "2",  "1",  "0",  "3",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "220",  "0",  "220",  "0",  "8",  "30",  "0",  "46",  "0",  "5",  "5",  "0",  "5",  "0",  "10",  "9",  "0",  "10",  "0",  "2",  "51",  "0",  "77",  "0",  "16",  "23",  "0",  "37",  "0",  "6",  "6",  "0",  "7",  "0",  "0",  "63",  "0",  "76",  "0",  "0",  "11",  "0",  "12",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "0",  "9",  "0",  "0",  "45",  "0",  "58",  "0",  "0",  "3",  "0",  "9",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "61",  "0",  "77",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "228",  "12",  "0",  "9",  "2",  "48",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "413",  "12",  "1",  "0",  "0",  "10",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "407",  "3",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "2",  "0",  "1",  "0",  "0",  "12",  "2",  "0",  "34",  "0",  "0",  "83",  "2",  "0",  "10",  "0",  "0",  "31",  "2",  "0",  "20",  "0",  "0",  "58",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "78",  "31",  "926",  "4374",  "5409", 1
 "24",  "16",  "0",  "0",  "2",  "1",  "0",  "2",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "220",  "0",  "220",  "0",  "8",  "30",  "0",  "46",  "0",  "5",  "5",  "0",  "5",  "0",  "10",  "9",  "0",  "10",  "0",  "2",  "51",  "0",  "77",  "0",  "16",  "23",  "0",  "37",  "0",  "6",  "6",  "0",  "7",  "0",  "0",  "63",  "0",  "76",  "0",  "0",  "11",  "0",  "12",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "0",  "9",  "0",  "0",  "45",  "0",  "58",  "0",  "0",  "3",  "0",  "9",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "61",  "0",  "77",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "228",  "12",  "0",  "9",  "2",  "48",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "413",  "12",  "1",  "0",  "0",  "10",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "407",  "3",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "2",  "0",  "1",  "0",  "0",  "12",  "2",  "0",  "34",  "0",  "0",  "83",  "2",  "0",  "10",  "0",  "0",  "31",  "2",  "0",  "20",  "0",  "0",  "58",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "31",  "3687",  "4374",  "8093", 1
 "20",  "13",  "1",  "0",  "0",  "0",  "1",  "2",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "6",  "5",  "0",  "52",  "0",  "40",  "48",  "0",  "14",  "0",  "11",  "35",  "0",  "6",  "0",  "0",  "17",  "0",  "4",  "0",  "0",  "59",  "0",  "69",  "0",  "0",  "10",  "0",  "8",  "0",  "0",  "0",  "0",  "39",  "0",  "0",  "0",  "0",  "76",  "0",  "0",  "0",  "0",  "12",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "22",  "0",  "0",  "82",  "0",  "61",  "0",  "0",  "0",  "0",  "15",  "0",  "0",  "2",  "1",  "20",  "0",  "0",  "31",  "17",  "29",  "0",  "0",  "13",  "0",  "17",  "1",  "1",  "63",  "21",  "0",  "24",  "23",  "43",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "2",  "3",  "6",  "1",  "0",  "0",  "0",  "5",  "100",  "0",  "20",  "200",  "47",  "0",  "0",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "202",  "1",  "0",  "74",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "222",  "0",  "0",  "56",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "109",  "36",  "208",  "4396",  "4749", 1
 "41",  "20",  "2",  "0",  "0",  "0",  "2",  "2",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "68",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "27",  "0",  "0",  "0",  "0",  "14",  "1",  "3",  "1",  "1",  "0",  "0",  "5",  "36",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "6",  "7",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "236",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "47",  "31",  "27",  "3467",  "3572", 1
